name,owners,price,score,positive,negative,recommendations,playtime,genres
The Red Strings Club,350000,14.99,0,7983,488,7786,323,"Adventure,Indie"
Bean Stalker,10000,19.99,0,122,18,114,25,"Action,Adventure,Indie"
Paperball,10000,11.99,0,162,5,161,0,"Action,Indie"
Vivid Knight,75000,14.99,0,1267,117,1317,894,"Simulation,Strategy"
The Light Keeps Us Safe,10000,19.99,0,108,74,121,0,"Action,Indie"
Forest Fortress,35000,14.99,0,117,29,133,0,"Adventure,Casual,Indie"
Enter The Backrooms,35000,4.99,0,652,85,671,298,"Adventure,Casual,Indie"
Train Simulator Classic,10000,24.99,0,8893,5526,15770,0,Simulation
Critical Mass,150000,1.99,0,302,121,284,32,"Casual,Indie"
Cavern of Dreams,10000,12.99,0,335,9,332,8,"Action,Adventure,Casual,Indie"
RUGBY 20,10000,19.99,0,123,57,119,0,"Simulation,Sports"
The Case Book of Arne,10000,9.99,0,222,19,212,0,"Adventure,Indie,RPG"
Threshold,10000,3.99,0,157,36,108,0,"Indie,Early Access"
Tiny Troopers,150000,4.99,0,923,220,950,106,"Action,Indie,Strategy"
Lolita Expedition,35000,4.73,0,149,5,140,786,"Adventure,Indie,RPG,Strategy,Early Access"
候鸟,10000,8.79,0,143,2,166,0,Adventure
The Snowboard Game,10000,14.99,0,247,47,270,0,"Action,Indie,Simulation,Sports"
Lust for Darkness,150000,14.99,0,2354,1050,3316,126,"Adventure,Indie"
Awesomenauts - the 2D moba,3500000,0.0,0,22365,4000,11819,261,"Action,Free to Play,Indie,Strategy"
Weird Hero,35000,3.99,0,115,47,135,204,"Action,Indie"
Fairy Bloom Freesia,150000,7.99,0,911,160,548,102,"Action,Indie"
Waves,150000,4.99,0,1022,61,943,116,"Action,Indie"
Supaplex,35000,9.99,0,159,8,157,181,"Action,Casual,Indie"
Dog Sled Saga,35000,7.99,0,570,51,488,173,"Indie,Racing,RPG,Sports"
Labyrinthine,750000,9.99,0,6256,900,5795,298,"Action,Adventure,Indie,Early Access"
